CODI;NOM_OFICIAL
085900;Carrer de la Conca de Tremp
086006;Passatge de la Concepció
086108;Carrer de Concepción Arenal
086200;Carrer del Concili de Trento
086301;Carrer de la Concòrdia
086403;Plaça de la Concòrdia
086607;Carrer de Conxita Supervia
086800;Carrer Comtal
086902;Carrer Nou de la Rambla
087009;Carrer del Comte Borrell
087100;Carrer del Comte de Güell
087202;Carrer del Comte de Noroña
087304;Carrer del Comte de Salvatierra
087406;Carrer del Comte de Santa Clara
087508;Carrer del Comte de Sert
087600;Plaça del Comte de Sert
087701;Carrer del Comte Tallaferro
087905;Carrer dels Comtes
088001;Carrer dels Comtes de Bell-lloc
088103;Carrer de la Comtessa de Pardo Bazán
088205;Carrer de la Comtessa de Sobradiel
088453;Carrer del Conflent
088500;Carrer del Congost
088602;Carrer del Congrés
088704;Plaça del Congrés Eucarístic
088908;Carrer de la Conreria
089004;Carrer del Consell de Cent
089106;Carrer dels Consellers
089208;Carrer dels Consorts Sans Bernet
089300;Passatge de la Constància
089401;Carrer de Constantí
089503;Carrer de Constantinoble
089605;Carrer de Constança
089707;Carrer de la Constitució
089809;Carrer del Consolat de Mar
089900;Carrer del Conveni
090105;Carrer de Copèrnic
090207;Carrer d'en Copons
090309;Passatge de Conradí
090400;Carrer de les Alberes
090502;Carrer de Còrsega
090604;Passatge de Còrsega
090900;Carrer dels Corders
091006;Carrer de Còrdova
091108;Carrer de Corint
091200;Carrer de Cornet i Mas
091301;Carrer de Cornudella
091403;Carrer de Coroleu
091607;Carrer del Coronel Sanfeliu
091709;Carrer del Corral
091800;Carrer del Correu Vell
091902;Carrer de Corretger
092009;Carrer de Corçà
092100;Carrer Curt
092202;Carrer dels Cortada
092406;Carrer d'en Cortines
092508;Carrer de Cortit
092600;Carrer de les Corts
092701;Carrer de la Corunya
092803;Carrer de Pere Costa
092905;Passatge de Costa
092938;Carrer de la Costa Brava
092950;Carrer de Costabona
092971;Carrer de la Costa Daurada
093001;Carrer de Costa Pacheco
093103;Carrer de Costa Rica
093205;Carrer dels Cotoners
093307;Carrer de la Mare de Déu de Núria
093409;Carrer de Craywinckel
093500;Passatge del Crèdit
093602;Carrer de Crehuet
093704;Carrer Cremat Gran i Xic
093850;Carrer de Cretes
094004;Carrer de Crillon
094106;Carrer del Crisantem
094208;Pla de la Seu
094300;Carrer de Cristóbal de Moura
094401;Carrer de Cros
094503;Carrer de Croia
